Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Cuisine",0.919308,0.650897,2,0.919308,0.650897,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Culture",0.890822,0.601878,8,0.890822,0.601878,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Economy",0.910354,0.600432,4,0.910354,0.600432,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Geography",0.912627,0.649355,6,0.912627,0.649355,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, History",0.912033,0.667261,12,0.912033,0.667261,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Insects",0.906636,0.482916,4,0.906636,0.482916,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Laundry",0.924124,0.635044,2,0.924124,0.635044,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Music",0.912977,0.585704,4,0.912977,0.585704,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Safety",0.892946,0.577513,20,0.892946,0.577513,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Sports Events",0.843379,0.2678,2,0.843379,0.2678,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"Travel, Tourism",0.904983,0.603426,8,0.904983,0.603426,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
