Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Llama 3 8B,Empirical Net Mngr 5.5GB,3,0.7655,0.8239,0.7947,10.442,9.7254,5.81,5.28
Mistral 7B,Fp4 AWQ,1,0.8149,0.5857,0.7003,4.5907,23.5894,5.44,3.98
Mistral 7B,Fp4 AWQ,2,0.803,0.5979,0.7005,4.9164,24.2247,5.52,3.98
Mistral 7B,Fp4 AWQ,3,0.7904,0.6083,0.6994,4.5003,22.7907,5.58,3.98
Mistral 7B,Int4 AWQ,1,0.8128,0.5755,0.6942,4.5576,25.9516,5.23,3.98
Mistral 7B,Int4 AWQ,2,0.8053,0.5736,0.6894,4.9646,25.6603,5.23,3.98
Mistral 7B,Int4 AWQ,3,0.7917,0.5793,0.6855,4.5806,25.4157,5.23,3.98
Mistral 7B,Fp4,1,0.8067,0.5919,0.6993,4.5319,24.1391,5.3,3.98
Mistral 7B,Fp4,2,0.8001,0.5942,0.6972,4.7459,24.0194,5.47,3.98
Mistral 7B,Fp4,3,0.7867,0.6071,0.6969,4.3586,24.0023,5.4,3.98
Mistral 7B,Int8 Bookends,1,0.8148,0.6168,0.7158,5.1436,27.6719,5.35,7.03
Mistral 7B,Int8 Bookends,2,0.8107,0.6037,0.7072,5.5937,28.9435,5.36,7.03
Mistral 7B,Int8 Bookends,3,0.7852,0.6232,0.7042,5.1586,27.6876,5.4,7.03
Mistral 7B,Fp8,1,0.8198,0.606,0.7129,4.7541,25.6132,5.04,7.01
Mistral 7B,Fp8,2,0.81,0.6139,0.712,5.0584,26.6434,5.39,7.01
Mistral 7B,Fp8,3,0.7989,0.6279,0.7134,4.7096,25.6202,5.33,7.01
Mistral 7B,Fp8 Per Tensor,1,0.8167,0.5943,0.7055,4.8762,26.1952,5.06,7
Mistral 7B,Fp8 Per Tensor,2,0.8105,0.6115,0.711,5.2886,26.7249,5.13,7
