Base_Model,Quantization,Direction,Metric,Paired_Sentences,Excess_Mean,CI95_Lower,CI95_Upper
Llama 3 8B,Fp8,GR-EN,Expanded_Hallucination_Risk,300,0.0022777226338754806,0.000137024758563461,0.00449282699584543
Llama 3 8B,Fp8,GR-EN,Expanded_Omission_Risk,300,-0.0016806860575563705,-0.003549195868583809,8.351669598206303e-05
Llama 3 8B,Fp8 Per Tensor,GR-EN,Hallucination_Risk,300,0.004204504067733833,0.0019140572672421833,0.006947503178831327
Llama 3 8B,Fp8 Per Tensor,GR-EN,Omission_Risk,300,-0.004654543862978189,-0.007339382602900264,-0.0024275817326232627
Llama 3 8B,Fp8 Per Tensor,GR-EN,Expanded_Hallucination_Risk,300,0.0031981348035648952,0.0008719043766883543,0.00526341807617281
Llama 3 8B,Fp8 Per Tensor,GR-EN,Expanded_Omission_Risk,300,-0.0021369942888060304,-0.004486098689297204,0.00020755451426131765
Llama 3 8B,Full Model,GR-EN,Hallucination_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,GR-EN,Omission_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,GR-EN,Expanded_Hallucination_Risk,300,0.0,0.0,0.0
Llama 3 8B,Full Model,GR-EN,Expanded_Omission_Risk,300,0.0,0.0,0.0
Llama 3 8B,Int2 Batch16,GR-EN,Hallucination_Risk,300,0.15300809712462074,0.13797321410519606,0.16942664146866382
Llama 3 8B,Int2 Batch16,GR-EN,Omission_Risk,300,0.37139621601322764,0.33050632460919505,0.41014388661831497
Llama 3 8B,Int2 Batch16,GR-EN,Expanded_Hallucination_Risk,300,0.11580723862995848,0.10359046781200906,0.12627690626931776
Llama 3 8B,Int2 Batch16,GR-EN,Expanded_Omission_Risk,300,0.2732993601043743,0.2467538706462924,0.3015713200001688
Llama 3 8B,Int4,GR-EN,Hallucination_Risk,300,0.002523651861512007,-0.0004229766732683919,0.005512607421912698
Llama 3 8B,Int4,GR-EN,Omission_Risk,300,-0.006160294852085474,-0.009251525342337088,-0.003336936062723672
Llama 3 8B,Int4,GR-EN,Expanded_Hallucination_Risk,300,0.0029189490516587815,-2.0876769482519337e-05,0.006400538905812971
Llama 3 8B,Int4,GR-EN,Expanded_Omission_Risk,300,-0.0033240376738539958,-0.005824536530323546,-0.0007820825183307383
Llama 3 8B,Int4 AWQ,GR-EN,Hallucination_Risk,300,0.0034462433317372703,0.0005174329949424697,0.006464788822396754
Llama 3 8B,Int4 AWQ,GR-EN,Omission_Risk,300,0.00272360084985341,-0.0002798586904532422,0.0058658318326010065
Llama 3 8B,Int4 AWQ,GR-EN,Expanded_Hallucination_Risk,300,0.002724298395503195,0.0001181780384662717,0.005337585740873118
Llama 3 8B,Int4 AWQ,GR-EN,Expanded_Omission_Risk,300,0.002186633396621848,-0.00035485085895184247,0.004688457327742474
Llama 3 8B,Int8,GR-EN,Hallucination_Risk,300,0.003814022782706917,0.0013510339049348325,0.0065550699137587425
Llama 3 8B,Int8,GR-EN,Omission_Risk,300,-0.00408434320327733,-0.006358218913482803,-0.0020120293754276822
Llama 3 8B,Int8,GR-EN,Expanded_Hallucination_Risk,300,0.0032518506536643897,0.0009476118500995814,0.00557103221802569
Llama 3 8B,Int8,GR-EN,Expanded_Omission_Risk,300,-0.0028527987553633337,-0.005132310402272972,-0.0011687235416524269
Llama 3 8B,Int8 A8W8,GR-EN,Hallucination_Risk,300,0.0023022569015514406,-0.0003192247123464663,0.005312345972379858
Llama 3 8B,Int8 A8W8,GR-EN,Omission_Risk,300,-0.00337538250769148,-0.005874823571027523,-0.001238177111375801
Llama 3 8B,Int8 A8W8,GR-EN,Expanded_Hallucination_Risk,300,0.002754651261056522,0.00046968493449683484,0.005134924388339206
Llama 3 8B,Int8 A8W8,GR-EN,Expanded_Omission_Risk,300,-0.002198702751123621,-0.004165272743358372,-0.0004515360580443562
Llama 3 8B,Int8 Bookends,GR-EN,Hallucination_Risk,300,0.003449958942229956,0.0007261998861539301,0.006496205397703686
Llama 3 8B,Int8 Bookends,GR-EN,Omission_Risk,300,-0.004373436271836081,-0.006966824229281079,-0.0017028136349315345
Llama 3 8B,Int8 Bookends,GR-EN,Expanded_Hallucination_Risk,300,0.0031815864734816004,7.63027666665573e-05,0.0060232465215009166
Llama 3 8B,Int8 Bookends,GR-EN,Expanded_Omission_Risk,300,-0.0030189729989907005,-0.0052341832668980305,-0.0009685944484677479
Llama 3 8B,Nf4,GR-EN,Hallucination_Risk,300,0.005240249789283868,0.001979565129663872,0.008654400928295792
Llama 3 8B,Nf4,GR-EN,Omission_Risk,300,-0.002592008066999106,-0.005470534399620315,0.0002706635429953768
Llama 3 8B,Nf4,GR-EN,Expanded_Hallucination_Risk,300,0.005252322890396754,0.002298399833655302,0.008619250054619384
Llama 3 8B,Nf4,GR-EN,Expanded_Omission_Risk,300,0.00012266326260685278,-0.003157212567363942,0.0029918559864755075
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Hallucination_Risk,300,-0.0027784925341350257,-0.007926547867418877,0.002518953920774344
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Omission_Risk,300,0.003805639217749665,-0.0008248609564102708,0.008467560687949122
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Expanded_Hallucination_Risk,300,0.02136351159742872,0.014677301819866007,0.029240711061226884
Llama Krikri 8B,2bit 10% Fast Spqr,EN-GR,Expanded_Omission_Risk,300,0.0346800960584476,0.02832496976604654,0.040821732475770395
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Hallucination_Risk,300,-0.026325605472326482,-0.03541753590988334,-0.017573888987035362
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Omission_Risk,300,0.01588023377385672,0.004295926757253575,0.027946021638126987
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Expanded_Hallucination_Risk,300,0.09154192363327353,0.08321366086582727,0.09985329193874791
Llama Krikri 8B,2bit 5% Spqr,EN-GR,Expanded_Omission_Risk,300,0.16123325857412074,0.15233729259609377,0.17021044838589994
Llama Krikri 8B,4bit K-Means,EN-GR,Hallucination_Risk,300,0.002084661668563952,-0.0031899678561860554,0.006836206496530116
Llama Krikri 8B,4bit K-Means,EN-GR,Omission_Risk,300,0.001165636984903599,-0.002780692485532075,0.005294654297547231
Llama Krikri 8B,4bit K-Means,EN-GR,Expanded_Hallucination_Risk,300,0.004825815189342236,0.00016674270535083291,0.009737696702942805
Llama Krikri 8B,4bit K-Means,EN-GR,Expanded_Omission_Risk,300,0.007021889038073701,0.0025794382249196327,0.011646082850087931
Llama Krikri 8B,4bit Omniquant,EN-GR,Hallucination_Risk,300,-0.00429542469452908,-0.007224082779832194,-0.001426011344603557
Llama Krikri 8B,4bit Omniquant,EN-GR,Omission_Risk,300,-0.0004767229044543825,-0.0032214260596512417,0.002212392410711217
Llama Krikri 8B,4bit Omniquant,EN-GR,Expanded_Hallucination_Risk,300,-0.004693531559065427,-0.008150464067916169,-0.001253338579568822
Llama Krikri 8B,4bit Omniquant,EN-GR,Expanded_Omission_Risk,300,-0.0007356451825937082,-0.0038152641349030593,0.002355769848811817
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Hallucination_Risk,300,0.0006695830740750841,-0.0024555166303211317,0.003633584205349509
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Omission_Risk,300,-0.0006870581553277992,-0.0035136373100531945,0.002064769946903707
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Expanded_Hallucination_Risk,300,-0.0007629567122202719,-0.0036871403564644654,0.002171389712391122
Llama Krikri 8B,4bit Optimized GPTQ,EN-GR,Expanded_Omission_Risk,300,-0.0009966546729637154,-0.0038313837794990676,0.0017814924241750653
Llama Krikri 8B,4bit Spinquant,EN-GR,Hallucination_Risk,300,-0.006824604774342644,-0.0103118359503543,-0.004208100150555443
Llama Krikri 8B,4bit Spinquant,EN-GR,Omission_Risk,300,0.00124007857871504,-0.0016191311948053168,0.004134313913322237
Llama Krikri 8B,4bit Spinquant,EN-GR,Expanded_Hallucination_Risk,300,-0.002792325842805419,-0.005541188453466046,0.0003566950044929906
Llama Krikri 8B,4bit Spinquant,EN-GR,Expanded_Omission_Risk,300,0.0019823863508329994,-0.0012908502829281584,0.004704822264809824
